input,validity,validityText,baseline,coverage
text: The quick brown fox jumps over the lazy dog.,ok,"The input is a single sentence. It is coherent and complete. It does not require simplification, and there are no complex phrases. Its meaning is clear and factual accuracy is preserved after rewriting. The sentence is neither too long nor does it extend beyond a typical sentence length. 

OK",1,The speedy brown fox leaps over the sleepy dog.
text: She sells sea shells by the sea shore.,ok,"The input is a coherent and complete sentence. It maintains factual accuracy and seems to be a typical sentence in length, avoiding over-complexity. It is not an entire paragraph. Complex phrases might need simplification. There is no violation of the input specification.

OK",1,She sells seashells near the beach.
text: An apple a day keeps the doctor away.,ok,"The input is a coherent and complete sentence. It is not an entire paragraph and does not exceed typical sentence length. The sentence does not necessarily include complex phrases that need simplification, but it can be rewritten to preserve its original meaning and factual accuracy while potentially enhancing readability and conversational tone.

OK",1,Eating an apple every day helps you stay healthy and avoid doctor visits.
text: A stitch in time saves nine.,ok,"The input is a complete and coherent sentence. It doesn't appear to be overly complex or in need of simplification. The sentence is also short and doesn't violate the length requirements. 

OK",1,Taking care of problems early can prevent them from getting worse later.
text: Actions speak louder than words.,ok,"The input is a single sentence: ""Actions speak louder than words.""
- It is a coherent and complete sentence.
- It does not require any factual accuracy check as it is a common saying or idiom.
- It is not an entire paragraph.
- The sentence length is within typical limits and not overly complex.
OK",1,What you do matters more than what you say.
text: Every cloud has a silver lining.,ok,"The input ""Every cloud has a silver lining."" is a coherent and complete sentence. It is not an entire paragraph and does not exceed typical sentence length, avoiding over-complexity. It is a saying that may require stylistic changes but can be understood as it has a clear meaning.

OK",1,Every cloud has a bright side.
text: Laughter is the best medicine.,ok,"The input ""Laughter is the best medicine."" is a coherent and complete sentence. It is not overly complex, does not exceed typical sentence length, and does not require extensive rewriting to simplify complex phrases. It preserves factual accuracy and its original meaning. The input is also not an entire paragraph.

OK",1,Laughter truly is the best cure.
text: The early bird catches the worm.,ok,"This is a coherent and complete sentence. Although it contains a proverb which might necessitate simplification or stylistic change for better readability or a conversational tone, it respects the input specifications. The sentence is appropriately sized and not overly complex. There are no violations detected based on the given input specifications.

OK",1,The early bird gets the worm.
text: Practice makes perfect.,ok,"The given input ""Practice makes perfect."" is a coherent and complete sentence. It fits the minimum length requirement for a sentence. It is not an entire paragraph. It doesn't need simplification but can be stylistically rewritten for better readability, if necessary. It doesn't exceed typical sentence length. 

OK",1,"The more you practice, the better you'll get."
"text: When in Rome, do as the Romans do.",ok,"The input is a coherent and complete sentence. It preserves its original meaning and factual accuracy. It does not exceed typical sentence length and is not an entire paragraph. The input meets all the requirements of the input specification.

OK",1,"When you’re in Rome, follow the local customs."
text: A picture is worth a thousand words.,ok,"The given input is a coherent and complete sentence, which meets the requirement for a minimum length of one sentence. It does not exceed typical sentence length and is not an entire paragraph. The sentence also preserves its original meaning and factual accuracy. Additionally, it does not contain complex phrases that need simplification, but it still meets the requirement as it can be stylistically changed to enhance readability.

OK",1,A single picture can say so much more than just a thousand words.
text: Rome wasn't built in a day.,ok,"The input is a single complete and coherent sentence. It preserves its original meaning and factual accuracy, it is not an entire paragraph, and it does not exceed typical sentence length. Although it is already a simple sentence, the specification does not prohibit simple sentences.

OK",1,Rome didn't get built overnight.
"text: If it ain't broke, don't fix it.",ok,"The input is a coherent and complete sentence. It does not seem to be an entire paragraph and falls well within a typical sentence length. The sentence is stylistically informal, which can be considered for conversational tone enhancement. Therefore, it meets all criteria: 
OK",1,"If something is working fine, leave it alone."
