rule id,rule
b6098f42e02f33841518df923ee09c96,The output must specify the libraries required for metadata removal from files when asked to install the necessary libraries.
db4d71f83fd3b74e21de13a84ee4597d,The output must name the function for removing metadata as `remove_metadata`.
a4abef7057c5d446da1216040a209421,The function `remove_metadata` must accept exactly two parameters named `input_path` and `output_path`.
5bcb90650d69b7351761a4e737b3f928,The `input_path` parameter in the function `remove_metadata` must be the path to the input file.
389886838d3a1b117640a780477795f2,The `output_path` parameter in the function `remove_metadata` must be the path where the file without metadata will be saved.
c31c0efea005161971bde2b5791ad5c1,The function `remove_metadata` must be capable of identifying the file type of the input.
da7976b3e4fc9ac9081f539ee33dcd08,The function `remove_metadata` must use different methods for removing metadata depending on the file type identified.
94da49bc934184f706dc1392863d5530,The function `remove_metadata` must save the resulting file without metadata to the specified `output_path`.
8267e242aed3def1e41a7f8c0e003407,"Supported file types for metadata removal must include JPEG, JPG, PNG, TIFF, BMP, PDF, and DOCX."
caf25a66c508221c598175a3e50d2bac,"When the file type is not supported, the function `remove_metadata` must raise a ValueError indicating ""Unsupported file type""."
54dc89bd145ef4d617baa1db9a3767d5,The function `remove_image_metadata` must handle metadata removal for image files and save the file without metadata.
eb078275fba8407a07239777ea7cc81a,The function `remove_pdf_metadata` must handle metadata removal for PDF files and save the file without metadata.
9b53f19cca1b9cda038733def893bcc4,The function `remove_docx_metadata` must handle metadata removal for DOCX files and save the file without metadata.
cfa6ea06d0586802cbdfa8012b31f23a,"If there is a request to provide metadata of the file, the response must include the specific metadata details."
c0112d3eb863b84789e9e5ef1d8973de,"If there is a request to save metadata to a file, the response must inquire about the desired file format for saving metadata."
6a1aee1a31523a824e55bce66aa8d61d,"After saving metadata or the cleaned file, a link for download must be provided in the response."
