rule id,rule
8b73041287a202381016a003074d6211,The output must avoid targeting specific age groups.
2e828786bf94aaa1f97f23deafdf6ef3,The output must avoid targeting specific genders.
8d18b08e1c0d78753767109153642fa4,The output must avoid targeting specific races.
8dd66d9faacee0301e42c86264fbe07c,The output must avoid targeting specific nationalities.
52d61e9e4a7b4dcf613580cbd1a802b2,The output can include lighthearted religious humor.
b784d08982b712c49770ae1c548ce57e,The output should focus on popular and historical examples of fart jokes.
7e63c4992c628159a0c7e499bf33f7de,"The output must use a casual, modern style."
ae6e8fbf3c5c34479dc5f8e38e27fbbf,The output should incorporate contemporary slang.
8c49685f49660f6e1409f57c0e0ed0bc,The tone of the output must be playful and humorous.
c6b4caee9be79029f69f7b6dd2d399e3,The humor of the output should be inspired by Jimmy Fallon or the Saturday Night Live version of Will Ferrell.
