model,scenario,errors,tests,tests compliant,tests compliance unknown,baseline compliant,tests positive,tests positive compliant,tests negative,tests negative compliant,baseline,tests valid,tests valid compliant
gpt-4o-mini-2024-07-18,English,0,39,100%,0%,--,27,39,12,39,0,31,31
gpt-4o-mini-2024-07-18,French,0,54,100%,0%,--,27,54,27,54,0,54,54
gpt-4o-mini-2024-07-18,,0,0,--,--,100%,0,0,0,0,100,0,0
gemma2:9b,English,0,39,97%,0%,--,27,38,12,38,0,31,30
gemma2:9b,French,0,54,98%,0%,--,27,53,27,53,0,54,53
gemma2:9b,,0,0,--,--,98%,0,0,0,0,100,0,0
qwen2.5:3b,English,0,39,95%,0%,--,27,37,12,37,0,31,29
qwen2.5:3b,French,0,54,100%,0%,--,27,54,27,54,0,54,54
qwen2.5:3b,,0,0,--,--,95%,0,0,0,0,100,0,0
llama3.2:1b,English,0,39,41%,0%,--,27,16,12,16,0,31,13
llama3.2:1b,French,0,54,30%,2%,--,27,16,27,16,0,54,16
llama3.2:1b,,0,0,--,--,41%,0,0,0,0,100,0,0
